"","lng","lat","lterid","year","month","ppt","tmean"
"1094",-122.26,44.21,"AND",2000,"02",256.220001220703,4.30999994277954
"1095",-122.26,44.21,"AND",2000,"03",171.270004272461,5.44000005722046
"1096",-122.26,44.21,"AND",2000,"04",103.51000213623,10.0700006484985
"1097",-122.26,44.21,"AND",2000,"05",142.100006103516,11.2699995040894
"1098",-122.26,44.21,"AND",2000,"06",82.9400024414062,17.2000007629395
"1099",-122.26,44.21,"AND",2000,"07",8.01000022888184,18.8199996948242
"1100",-122.26,44.21,"AND",2000,"08",0.800000011920929,19.5849990844727
"1101",-122.26,44.21,"AND",2000,"09",42.0499992370605,16.0499992370605
"1102",-122.26,44.21,"AND",2000,"10",132.580001831055,10.75
"1103",-122.26,44.21,"AND",2000,"11",127.389999389648,3.37000012397766
"1104",-122.26,44.21,"AND",2000,"12",244.369995117188,3.18999981880188
"1105",-122.26,44.21,"AND",2001,"01",110.949996948242,3.10999989509583
"1106",-122.26,44.21,"AND",2001,"02",72.7300033569336,3.41000008583069
"1107",-122.26,44.21,"AND",2001,"03",171.770004272461,6.71500015258789
"1108",-122.26,44.21,"AND",2001,"04",136.820007324219,6.97000026702881
"1109",-122.26,44.21,"AND",2001,"05",135.740005493164,14.3200006484985
"1110",-122.26,44.21,"AND",2001,"06",79.3000030517578,14.4650001525879
"1111",-122.26,44.21,"AND",2001,"07",22.3400001525879,18.9549999237061
"1112",-122.26,44.21,"AND",2001,"08",16.5400009155273,19.6849994659424
"1113",-122.26,44.21,"AND",2001,"09",26.3299999237061,17.4549999237061
"1114",-122.26,44.21,"AND",2001,"10",194.509994506836,11.0450000762939
"1115",-122.26,44.21,"AND",2001,"11",350.679992675781,6.38499975204468
"1116",-122.26,44.21,"AND",2001,"12",477.170013427734,1.69500005245209
"1117",-122.26,44.21,"AND",2002,"01",418.100006103516,2.02999997138977
"1118",-122.26,44.21,"AND",2002,"02",168.139999389648,3.30999994277954
"1119",-122.26,44.21,"AND",2002,"03",243.270004272461,3.98999977111816
"1120",-122.26,44.21,"AND",2002,"04",182.350006103516,8.97000026702881
"1121",-122.26,44.21,"AND",2002,"05",50.9900016784668,11.375
"1122",-122.26,44.21,"AND",2002,"06",44.2099990844727,16.9799995422363
"1123",-122.26,44.21,"AND",2002,"07",2.97000002861023,21.1749992370605
"1124",-122.26,44.21,"AND",2002,"08",7.53999996185303,19.5450000762939
"1125",-122.26,44.21,"AND",2002,"09",35.4099998474121,16.8549995422363
"1126",-122.26,44.21,"AND",2002,"10",28.8400001525879,10.6700000762939
"1127",-122.26,44.21,"AND",2002,"11",202.75,6.38500022888184
"1128",-122.26,44.21,"AND",2002,"12",371.859985351562,3.91000008583069
"1129",-122.26,44.21,"AND",2003,"01",369.019989013672,5.96499967575073
"1130",-122.26,44.21,"AND",2003,"02",169.830001831055,4.09999990463257
"1131",-122.26,44.21,"AND",2003,"03",433.25,6.13000011444092
"1132",-122.26,44.21,"AND",2003,"04",205.570007324219,6.99000024795532
"1133",-122.26,44.21,"AND",2003,"05",84.0599975585938,12.1049995422363
"1134",-122.26,44.21,"AND",2003,"06",4.46000003814697,18.1749992370605
"1135",-122.26,44.21,"AND",2003,"07",0.0399999991059303,21.8349990844727
"1136",-122.26,44.21,"AND",2003,"08",8.51000022888184,20.8449993133545
"1137",-122.26,44.21,"AND",2003,"09",79.7799987792969,18.1650009155273
"1138",-122.26,44.21,"AND",2003,"10",112.660003662109,12.125
"1139",-122.26,44.21,"AND",2003,"11",287.769989013672,3.61500000953674
"1140",-122.26,44.21,"AND",2003,"12",455.75,3.26999998092651
"1141",-122.26,44.21,"AND",2004,"01",410.700012207031,2.6800000667572
"1142",-122.26,44.21,"AND",2004,"02",200.029998779297,4.13499975204468
"1143",-122.26,44.21,"AND",2004,"03",134.339996337891,8.10000038146973
"1144",-122.26,44.21,"AND",2004,"04",125.209999084473,9.94999980926514
"1145",-122.26,44.21,"AND",2004,"05",160.770004272461,12.3050003051758
"1146",-122.26,44.21,"AND",2004,"06",60.0400009155273,16.5249996185303
"1147",-122.26,44.21,"AND",2004,"07",2.27999997138977,20.9949989318848
"1148",-122.26,44.21,"AND",2004,"08",116.720001220703,20.3549995422363
"1149",-122.26,44.21,"AND",2004,"09",104.339996337891,14.6149997711182
"1150",-122.26,44.21,"AND",2004,"10",147.100006103516,10.5100002288818
"1151",-122.26,44.21,"AND",2004,"11",101.699996948242,5.39000034332275
"1152",-122.26,44.21,"AND",2004,"12",262.010009765625,3.30000019073486
"1153",-122.26,44.21,"AND",2005,"01",129.270004272461,2.76999998092651
"1154",-122.26,44.21,"AND",2005,"02",84.1600036621094,3.84999990463257
"1155",-122.26,44.21,"AND",2005,"03",269.980010986328,6.7350001335144
"1156",-122.26,44.21,"AND",2005,"04",162.220001220703,7.72500038146973
"1157",-122.26,44.21,"AND",2005,"05",197.679992675781,12.6099996566772
"1158",-122.26,44.21,"AND",2005,"06",105.01000213623,13.6850004196167
"1159",-122.26,44.21,"AND",2005,"07",11.8699998855591,20.4549999237061
"1160",-122.26,44.21,"AND",2005,"08",3.10999989509583,21.1499996185303
"1161",-122.26,44.21,"AND",2005,"09",28,14.8400001525879
"1162",-122.26,44.21,"AND",2005,"10",151.009994506836,10.2649993896484
"1163",-122.26,44.21,"AND",2005,"11",370.269989013672,5.14499998092651
"1164",-122.26,44.21,"AND",2005,"12",469.230010986328,2.08500003814697
"1165",-122.26,44.21,"AND",2006,"01",633.75,3.0149998664856
"1166",-122.26,44.21,"AND",2006,"02",163.050003051758,2.49500012397766
"1167",-122.26,44.21,"AND",2006,"03",203.199996948242,3.54499983787537
"1168",-122.26,44.21,"AND",2006,"04",107.720001220703,8.47499942779541
"1169",-122.26,44.21,"AND",2006,"05",106.480003356934,13.460000038147
"1170",-122.26,44.21,"AND",2006,"06",87.879997253418,17.2049999237061
"1171",-122.26,44.21,"AND",2006,"07",5.40000009536743,21.3150005340576
"1172",-122.26,44.21,"AND",2006,"08",6.05000019073486,19.3150005340576
"1173",-122.26,44.21,"AND",2006,"09",53.6500015258789,16.4349994659424
"1174",-122.26,44.21,"AND",2006,"10",71.8300018310547,10.0799999237061
"1175",-122.26,44.21,"AND",2006,"11",636.239990234375,4.54500007629395
"1176",-122.26,44.21,"AND",2006,"12",374.220001220703,2.02999997138977
"1177",-122.26,44.21,"AND",2007,"01",230.229995727539,0.600000023841858
"1178",-122.26,44.21,"AND",2007,"02",313.350006103516,3.65000009536743
"1179",-122.26,44.21,"AND",2007,"03",178.889999389648,6.78999996185303
"1180",-122.26,44.21,"AND",2007,"04",141.929992675781,8.28999996185303
"1181",-122.26,44.21,"AND",2007,"05",68.1399993896484,13.125
"1182",-122.26,44.21,"AND",2007,"06",55.1699981689453,15.7099990844727
"1183",-122.26,44.21,"AND",2007,"07",23.6399993896484,20.6900005340576
"1184",-122.26,44.21,"AND",2007,"08",26.0100002288818,18.6149997711182
"1185",-122.26,44.21,"AND",2007,"09",33.2299995422363,15.085000038147
"1186",-122.26,44.21,"AND",2007,"10",312.910003662109,8.59000015258789
"1187",-122.26,44.21,"AND",2007,"11",307.790008544922,5.2350001335144
"1188",-122.26,44.21,"AND",2007,"12",433.779998779297,1.4449999332428
"1189",-122.26,44.21,"AND",2008,"01",382.029998779297,-0.290000021457672
"1190",-122.26,44.21,"AND",2008,"02",237.869995117188,2.54999995231628
"1191",-122.26,44.21,"AND",2008,"03",321.630004882812,3.14499998092651
"1192",-122.26,44.21,"AND",2008,"04",178.919998168945,5.78000020980835
"1193",-122.26,44.21,"AND",2008,"05",83.1999969482422,11.4250001907349
"1194",-122.26,44.21,"AND",2008,"06",72.2200012207031,14.0049991607666
"1195",-122.26,44.21,"AND",2008,"07",1.37999999523163,20.1149997711182
"1196",-122.26,44.21,"AND",2008,"08",41.5800018310547,19.2999992370605
"1197",-122.26,44.21,"AND",2008,"09",8.11999988555908,16.4249992370605
"1198",-122.26,44.21,"AND",2008,"10",110.01000213623,9.97999954223633
"1199",-122.26,44.21,"AND",2008,"11",315.829986572266,7.02999973297119
"1200",-122.26,44.21,"AND",2008,"12",457.070007324219,0.975000023841858
"1201",-122.26,44.21,"AND",2009,"01",260.600006103516,2.76999998092651
"1202",-122.26,44.21,"AND",2009,"02",161.229995727539,3.08500003814697
"1203",-122.26,44.21,"AND",2009,"03",298.450012207031,3.03499984741211
"1204",-122.26,44.21,"AND",2009,"04",145.110000610352,7.01000022888184
"1205",-122.26,44.21,"AND",2009,"05",179.729995727539,12.9300003051758
"1206",-122.26,44.21,"AND",2009,"06",48.1800003051758,16.5849990844727
"1207",-122.26,44.21,"AND",2009,"07",3.08999991416931,21.3950004577637
"1208",-122.26,44.21,"AND",2009,"08",16.6299991607666,19.9699993133545
"1209",-122.26,44.21,"AND",2009,"09",41.0999984741211,17.6800003051758
"1210",-122.26,44.21,"AND",2009,"10",186.449996948242,8.66499996185303
"1211",-122.26,44.21,"AND",2009,"11",281.850006103516,4.20000028610229
"1212",-122.26,44.21,"AND",2009,"12",193.690002441406,0.334999918937683
"1213",-122.26,44.21,"AND",2010,"01",296.070007324219,4.60000038146973
"1214",-122.26,44.21,"AND",2010,"02",157.800003051758,4.88000011444092
"1215",-122.26,44.21,"AND",2010,"03",248.850006103516,5.61999988555908
"1216",-122.26,44.21,"AND",2010,"04",222.479995727539,6.94999980926514
"1217",-122.26,44.21,"AND",2010,"05",153.910003662109,9.66499996185303
"1218",-122.26,44.21,"AND",2010,"06",187.550003051758,13.8600006103516
"1219",-122.26,44.21,"AND",2010,"07",1.99000000953674,20.0799999237061
"1220",-122.26,44.21,"AND",2010,"08",17.8299999237061,19.3500003814697
"1221",-122.26,44.21,"AND",2010,"09",123.639999389648,15.5400009155273
"1222",-122.26,44.21,"AND",2010,"10",228.330001831055,10.585000038147
"1223",-122.26,44.21,"AND",2010,"11",289.799987792969,4.34000015258789
"1224",-122.26,44.21,"AND",2010,"12",498.880004882812,2.42499995231628
"1225",-122.26,44.21,"AND",2011,"01",265.179992675781,2.5699999332428
"1226",-122.26,44.21,"AND",2011,"02",192.990005493164,1.58000004291534
"1227",-122.26,44.21,"AND",2011,"03",402.070007324219,3.17000007629395
"1228",-122.26,44.21,"AND",2011,"04",287.429992675781,5.27500009536743
"1229",-122.26,44.21,"AND",2011,"05",146.860000610352,8.93499946594238
"1230",-122.26,44.21,"AND",2011,"06",58.5,14.1149997711182
"1231",-122.26,44.21,"AND",2011,"07",37.4099998474121,17.4949989318848
"1232",-122.26,44.21,"AND",2011,"08",0.550000011920929,19.8400001525879
"1233",-122.26,44.21,"AND",2011,"09",9.07999992370605,18.3150005340576
"1234",-122.26,44.21,"AND",2011,"10",122.709999084473,9.96000003814697
"1235",-122.26,44.21,"AND",2011,"11",250.820007324219,3.73999977111816
"1236",-122.26,44.21,"AND",2011,"12",263.079986572266,2.48000001907349
"1237",-122.26,44.21,"AND",2012,"01",493.260009765625,2.54499983787537
"1238",-122.26,44.21,"AND",2012,"02",227.889999389648,3.03500008583069
"1239",-122.26,44.21,"AND",2012,"03",484.369995117188,3.33500003814697
"1240",-122.26,44.21,"AND",2012,"04",237.490005493164,8.48499965667725
"1241",-122.26,44.21,"AND",2012,"05",128.059997558594,11.6300001144409
"1242",-122.26,44.21,"AND",2012,"06",155.020004272461,13.7449998855591
"1243",-122.26,44.21,"AND",2012,"07",4.86999988555908,19.0499992370605
"1244",-122.26,44.21,"AND",2012,"08",2.71000003814697,20.7299995422363
"1245",-122.26,44.21,"AND",2012,"09",1.37999999523163,18.2749996185303
"1246",-122.26,44.21,"AND",2012,"10",289.489990234375,11.3299999237061
"1247",-122.26,44.21,"AND",2012,"11",356.549987792969,6.19999980926514
"1248",-122.26,44.21,"AND",2012,"12",486.809997558594,1.60000002384186
"1249",-122.26,44.21,"AND",2013,"01",209.139999389648,1.87999987602234
"1250",-122.26,44.21,"AND",2013,"02",121.75,3.27500009536743
"1251",-122.26,44.21,"AND",2013,"03",149.619995117188,6.19000005722046
"1252",-122.26,44.21,"AND",2013,"04",168.309997558594,8.35500049591064
"1253",-122.26,44.21,"AND",2013,"05",159.820007324219,12.3599996566772
"1254",-122.26,44.21,"AND",2013,"06",55,15.8050003051758
"1255",-122.26,44.21,"AND",2013,"07",0,20.7350006103516
"1256",-122.26,44.21,"AND",2013,"08",38.8699989318848,19.0699996948242
"1257",-122.26,44.21,"AND",2013,"09",262.190002441406,15.5100002288818
"1258",-122.26,44.21,"AND",2013,"10",73.0999984741211,9.80999946594238
"1259",-122.26,44.21,"AND",2013,"11",194.389999389648,5.97999954223633
"1260",-122.26,44.21,"AND",2013,"12",126.970001220703,0.915000081062317
"1261",-122.26,44.21,"AND",2014,"01",225.350006103516,4.93499994277954
"1262",-122.26,44.21,"AND",2014,"02",501.190002441406,2.84000015258789
"1263",-122.26,44.21,"AND",2014,"03",450.440002441406,6.4350004196167
"1264",-122.26,44.21,"AND",2014,"04",178.949996948242,8.73999977111816
"1265",-122.26,44.21,"AND",2014,"05",153.300003051758,13.2950000762939
"1266",-122.26,44.21,"AND",2014,"06",58.1699981689453,14.8400001525879
"1267",-122.26,44.21,"AND",2014,"07",22.7800006866455,21.0100002288818
"1268",-122.26,44.21,"AND",2014,"08",20.2399997711182,20.25
"1269",-122.26,44.21,"AND",2014,"09",40.4300003051758,17.5650005340576
"1270",-122.26,44.21,"AND",2014,"10",243.520004272461,12.6100006103516
"1271",-122.26,44.21,"AND",2014,"11",370.579986572266,5.84499979019165
"1272",-122.26,44.21,"AND",2014,"12",403.25,4.23000001907349
"1273",-122.26,44.21,"AND",2015,"01",128.580001831055,5.75500011444092
"1274",-122.26,44.21,"AND",2015,"02",183.449996948242,7.26000022888184
"1275",-122.26,44.21,"AND",2015,"03",135.059997558594,9.06500053405762
"1276",-122.26,44.21,"AND",2015,"04",119.949996948242,8.40999984741211
"1277",-122.26,44.21,"AND",2015,"05",52.1800003051758,13.1090002059937
"1278",-122.26,44.21,"AND",2015,"06",10.960000038147,19.4200000762939
"1279",-122.26,44.21,"AND",2015,"07",5.76000022888184,20.6650009155273
"1280",-122.26,44.21,"AND",2015,"08",21.4899997711182,20.4050006866455
"1281",-122.26,44.21,"AND",2015,"09",56.8199996948242,15.0990009307861
"1282",-122.26,44.21,"AND",2015,"10",83.75,13.5190010070801
"1283",-122.26,44.21,"AND",2015,"11",298.920013427734,4.55900001525879
"1284",-122.26,44.21,"AND",2015,"12",576.512023925781,2.62500023841858
"1285",-122.26,44.21,"AND",2016,"01",282.662994384766,2.83900022506714
"1286",-122.26,44.21,"AND",2016,"02",182.628005981445,5.9850001335144
"1287",-122.26,44.21,"AND",2016,"03",312.25,5.69500017166138
"1288",-122.26,44.21,"AND",2016,"04",122.986000061035,11.7350006103516
"1289",-122.26,44.21,"AND",2016,"05",39.1619987487793,13.3450002670288
"1290",-122.26,44.21,"AND",2016,"06",49.8889999389648,16.4520015716553
"1291",-122.26,44.21,"AND",2016,"07",34.9269981384277,17.9770011901855
"1292",-122.26,44.21,"AND",2016,"08",2.90199995040894,20.1230010986328
"1293",-122.26,44.21,"AND",2016,"09",45.0369987487793,14.7480010986328
"1294",-122.26,44.21,"AND",2016,"10",443.514007568359,9.76800060272217
"1295",-122.26,44.21,"AND",2016,"11",231.975006103516,7.72100019454956
"1296",-122.26,44.21,"AND",2016,"12",355.800994873047,-0.194000005722046
"325",-149.6,66.63,"ARC",1990,"01",NA,NA
"326",-149.6,66.63,"ARC",1990,"02",NA,NA
"327",-149.6,66.63,"ARC",1990,"03",NA,NA
"328",-149.6,66.63,"ARC",1990,"04",NA,NA
"329",-149.6,66.63,"ARC",1990,"05",NA,NA
"330",-149.6,66.63,"ARC",1990,"06",NA,NA
"331",-149.6,66.63,"ARC",1990,"07",NA,NA
"332",-149.6,66.63,"ARC",1990,"08",NA,NA
"333",-149.6,66.63,"ARC",1990,"09",NA,NA
"334",-149.6,66.63,"ARC",1990,"10",NA,NA
"335",-149.6,66.63,"ARC",1990,"11",NA,NA
"336",-149.6,66.63,"ARC",1990,"12",NA,NA
"337",-149.6,66.63,"ARC",1991,"01",NA,NA
"338",-149.6,66.63,"ARC",1991,"02",NA,NA
"339",-149.6,66.63,"ARC",1991,"03",NA,NA
"340",-149.6,66.63,"ARC",1991,"04",NA,NA
"341",-149.6,66.63,"ARC",1991,"05",NA,NA
"342",-149.6,66.63,"ARC",1991,"06",NA,NA
"343",-149.6,66.63,"ARC",1991,"07",NA,NA
"344",-149.6,66.63,"ARC",1991,"08",NA,NA
"345",-149.6,66.63,"ARC",1991,"09",NA,NA
"346",-149.6,66.63,"ARC",1991,"10",NA,NA
"347",-149.6,66.63,"ARC",1991,"11",NA,NA
"348",-149.6,66.63,"ARC",1991,"12",NA,NA
"349",-149.6,66.63,"ARC",1992,"01",NA,NA
"350",-149.6,66.63,"ARC",1992,"02",NA,NA
"351",-149.6,66.63,"ARC",1992,"03",NA,NA
"352",-149.6,66.63,"ARC",1992,"04",NA,NA
"353",-149.6,66.63,"ARC",1992,"05",NA,NA
"354",-149.6,66.63,"ARC",1992,"06",NA,NA
"355",-149.6,66.63,"ARC",1992,"07",NA,NA
"356",-149.6,66.63,"ARC",1992,"08",NA,NA
"357",-149.6,66.63,"ARC",1992,"09",NA,NA
"358",-149.6,66.63,"ARC",1992,"10",NA,NA
"359",-149.6,66.63,"ARC",1992,"11",NA,NA
"360",-149.6,66.63,"ARC",1992,"12",NA,NA
"361",-149.6,66.63,"ARC",1993,"01",NA,NA
"362",-149.6,66.63,"ARC",1993,"02",NA,NA
"363",-149.6,66.63,"ARC",1993,"03",NA,NA
"364",-149.6,66.63,"ARC",1993,"04",NA,NA
"365",-149.6,66.63,"ARC",1993,"05",NA,NA
"366",-149.6,66.63,"ARC",1993,"06",NA,NA
"367",-149.6,66.63,"ARC",1993,"07",NA,NA
"368",-149.6,66.63,"ARC",1993,"08",NA,NA
"369",-149.6,66.63,"ARC",1993,"09",NA,NA
"370",-149.6,66.63,"ARC",1993,"10",NA,NA
"371",-149.6,66.63,"ARC",1993,"11",NA,NA
"372",-149.6,66.63,"ARC",1993,"12",NA,NA
"373",-149.6,66.63,"ARC",1994,"01",NA,NA
"374",-149.6,66.63,"ARC",1994,"02",NA,NA
"375",-149.6,66.63,"ARC",1994,"03",NA,NA
"376",-149.6,66.63,"ARC",1994,"04",NA,NA
"377",-149.6,66.63,"ARC",1994,"05",NA,NA
"378",-149.6,66.63,"ARC",1994,"06",NA,NA
"379",-149.6,66.63,"ARC",1994,"07",NA,NA
"380",-149.6,66.63,"ARC",1994,"08",NA,NA
"381",-149.6,66.63,"ARC",1994,"09",NA,NA
